v4_2,LCL,UCL,Time,Year,Quarter,UK_Only,Geography,Measure_Of_Wellbeing,Estimate,Seasonal_Adjustment
7.5,7.4,7.5,2017 Q1,2017,1,K02000001,United Kingdom,Happiness,Average (mean),Non-seasonally adjusted
7.7,7.6,7.7,2017 Q1,2017,1,K02000001,United Kingdom,Life satisfaction,Average (mean),Non-seasonally adjusted
7.9,7.8,7.9,2017 Q1,2017,1,K02000001,United Kingdom,Worthwhile,Average (mean),Non-seasonally adjusted
3.0,2.9,3.0,2017 Q1,2017,1,K02000001,United Kingdom,Anxiety,Average (mean),Non-seasonally adjusted
2.9,2.9,2.9,2017 Q2,2017,2,K02000001,United Kingdom,Anxiety,Average (mean),Non-seasonally adjusted
7.6,7.5,7.6,2017 Q2,2017,2,K02000001,United Kingdom,Happiness,Average (mean),Non-seasonally adjusted
7.7,7.7,7.7,2017 Q2,2017,2,K02000001,United Kingdom,Life satisfaction,Average (mean),Non-seasonally adjusted
7.9,7.9,7.9,2017 Q2,2017,2,K02000001,United Kingdom,Worthwhile,Average (mean),Non-seasonally adjusted
7.5,7.5,7.6,2017 Q3,2017,3,K02000001,United Kingdom,Happiness,Average (mean),Non-seasonally adjusted
2.9,2.9,2.9,2017 Q3,2017,3,K02000001,United Kingdom,Anxiety,Average (mean),Non-seasonally adjusted
7.7,7.7,7.7,2017 Q3,2017,3,K02000001,United Kingdom,Life satisfaction,Average (mean),Non-seasonally adjusted
7.9,7.9,7.9,2017 Q3,2017,3,K02000001,United Kingdom,Worthwhile,Average (mean),Non-seasonally adjusted
7.5,7.5,7.5,2017 Q4,2017,4,K02000001,United Kingdom,Happiness,Average (mean),Non-seasonally adjusted
7.7,7.6,7.7,2017 Q4,2017,4,K02000001,United Kingdom,Life satisfaction,Average (mean),Non-seasonally adjusted
7.9,7.8,7.9,2017 Q4,2017,4,K02000001,United Kingdom,Worthwhile,Average (mean),Non-seasonally adjusted
2.9,2.9,3.0,2017 Q4,2017,4,K02000001,United Kingdom,Anxiety,Average (mean),Non-seasonally adjusted
7.4,7.4,7.5,2018 Q1,2018,1,K02000001,United Kingdom,Happiness,Average (mean),Non-seasonally adjusted
7.7,7.6,7.7,2018 Q1,2018,1,K02000001,United Kingdom,Life satisfaction,Average (mean),Non-seasonally adjusted
2.9,2.8,2.9,2018 Q1,2018,1,K02000001,United Kingdom,Anxiety,Average (mean),Non-seasonally adjusted
7.9,7.8,7.9,2018 Q1,2018,1,K02000001,United Kingdom,Worthwhile,Average (mean),Non-seasonally adjusted
7.6,7.6,7.7,2018 Q2,2018,2,K02000001,United Kingdom,Happiness,Average (mean),Non-seasonally adjusted
7.9,7.9,7.9,2018 Q2,2018,2,K02000001,United Kingdom,Worthwhile,Average (mean),Non-seasonally adjusted
7.7,7.7,7.7,2018 Q2,2018,2,K02000001,United Kingdom,Life satisfaction,Average (mean),Non-seasonally adjusted
2.8,2.8,2.8,2018 Q2,2018,2,K02000001,United Kingdom,Anxiety,Average (mean),Non-seasonally adjusted
7.7,7.7,7.7,2018 Q3,2018,3,K02000001,United Kingdom,Life satisfaction,Average (mean),Non-seasonally adjusted
7.6,7.5,7.6,2018 Q3,2018,3,K02000001,United Kingdom,Happiness,Average (mean),Non-seasonally adjusted
7.9,7.9,7.9,2018 Q3,2018,3,K02000001,United Kingdom,Worthwhile,Average (mean),Non-seasonally adjusted
2.9,2.8,2.9,2018 Q3,2018,3,K02000001,United Kingdom,Anxiety,Average (mean),Non-seasonally adjusted
2.9,2.9,2.9,2018 Q4,2018,4,K02000001,United Kingdom,Anxiety,Average (mean),Non-seasonally adjusted
7.5,7.5,7.5,2018 Q4,2018,4,K02000001,United Kingdom,Happiness,Average (mean),Non-seasonally adjusted
7.9,7.8,7.9,2018 Q4,2018,4,K02000001,United Kingdom,Worthwhile,Average (mean),Non-seasonally adjusted
7.7,7.7,7.7,2018 Q4,2018,4,K02000001,United Kingdom,Life satisfaction,Average (mean),Non-seasonally adjusted
7.9,7.9,7.9,2019 Q1,2019,1,K02000001,United Kingdom,Worthwhile,Average (mean),Non-seasonally adjusted
7.7,7.7,7.7,2019 Q1,2019,1,K02000001,United Kingdom,Life satisfaction,Average (mean),Non-seasonally adjusted
7.5,7.5,7.5,2019 Q1,2019,1,K02000001,United Kingdom,Happiness,Average (mean),Non-seasonally adjusted
2.9,2.9,3.0,2019 Q1,2019,1,K02000001,United Kingdom,Anxiety,Average (mean),Non-seasonally adjusted
7.9,7.9,7.9,2019 Q2,2019,2,K02000001,United Kingdom,Worthwhile,Average (mean),Non-seasonally adjusted
7.6,7.5,7.6,2019 Q2,2019,2,K02000001,United Kingdom,Happiness,Average (mean),Non-seasonally adjusted
2.9,2.9,3.0,2019 Q2,2019,2,K02000001,United Kingdom,Anxiety,Average (mean),Non-seasonally adjusted
7.7,7.7,7.7,2019 Q2,2019,2,K02000001,United Kingdom,Life satisfaction,Average (mean),Non-seasonally adjusted
7.7,7.6,7.7,2019 Q3,2019,3,K02000001,United Kingdom,Life satisfaction,Average (mean),Non-seasonally adjusted
7.5,7.5,7.6,2019 Q3,2019,3,K02000001,United Kingdom,Happiness,Average (mean),Non-seasonally adjusted
7.9,7.8,7.9,2019 Q3,2019,3,K02000001,United Kingdom,Worthwhile,Average (mean),Non-seasonally adjusted
2.9,2.9,3.0,2019 Q3,2019,3,K02000001,United Kingdom,Anxiety,Average (mean),Non-seasonally adjusted
7.7,7.6,7.7,2019 Q4,2019,4,K02000001,United Kingdom,Life satisfaction,Average (mean),Non-seasonally adjusted
7.8,7.8,7.9,2019 Q4,2019,4,K02000001,United Kingdom,Worthwhile,Average (mean),Non-seasonally adjusted
7.5,7.4,7.5,2019 Q4,2019,4,K02000001,United Kingdom,Happiness,Average (mean),Non-seasonally adjusted
3.0,3.0,3.0,2019 Q4,2019,4,K02000001,United Kingdom,Anxiety,Average (mean),Non-seasonally adjusted
7.3,7.3,7.4,2020 Q1,2020,1,K02000001,United Kingdom,Happiness,Average (mean),Non-seasonally adjusted
7.8,7.8,7.9,2020 Q1,2020,1,K02000001,United Kingdom,Worthwhile,Average (mean),Non-seasonally adjusted
7.6,7.6,7.7,2020 Q1,2020,1,K02000001,United Kingdom,Life satisfaction,Average (mean),Non-seasonally adjusted
3.3,3.2,3.3,2020 Q1,2020,1,K02000001,United Kingdom,Anxiety,Average (mean),Non-seasonally adjusted
7.8,7.8,7.8,2020 Q2,2020,2,K02000001,United Kingdom,Worthwhile,Average (mean),Non-seasonally adjusted
7.3,7.3,7.4,2020 Q2,2020,2,K02000001,United Kingdom,Happiness,Average (mean),Non-seasonally adjusted
7.5,7.5,7.6,2020 Q2,2020,2,K02000001,United Kingdom,Life satisfaction,Average (mean),Non-seasonally adjusted
3.4,3.3,3.4,2020 Q2,2020,2,K02000001,United Kingdom,Anxiety,Average (mean),Non-seasonally adjusted
7.8,7.7,7.8,2020 Q3,2020,3,K02000001,United Kingdom,Worthwhile,Average (mean),Non-seasonally adjusted
3.2,3.1,3.2,2020 Q3,2020,3,K02000001,United Kingdom,Anxiety,Average (mean),Non-seasonally adjusted
7.5,7.4,7.5,2020 Q3,2020,3,K02000001,United Kingdom,Happiness,Average (mean),Non-seasonally adjusted
7.5,7.5,7.5,2020 Q3,2020,3,K02000001,United Kingdom,Life satisfaction,Average (mean),Non-seasonally adjusted
7.2,7.2,7.3,2020 Q4,2020,4,K02000001,United Kingdom,Happiness,Average (mean),Non-seasonally adjusted
7.3,7.3,7.4,2020 Q4,2020,4,K02000001,United Kingdom,Life satisfaction,Average (mean),Non-seasonally adjusted
7.7,7.7,7.7,2020 Q4,2020,4,K02000001,United Kingdom,Worthwhile,Average (mean),Non-seasonally adjusted
3.4,3.4,3.5,2020 Q4,2020,4,K02000001,United Kingdom,Anxiety,Average (mean),Non-seasonally adjusted
7.7,7.6,7.7,2021 Q1,2021,1,K02000001,United Kingdom,Worthwhile,Average (mean),Non-seasonally adjusted
7.3,7.2,7.3,2021 Q1,2021,1,K02000001,United Kingdom,Happiness,Average (mean),Non-seasonally adjusted
7.3,7.3,7.3,2021 Q1,2021,1,K02000001,United Kingdom,Life satisfaction,Average (mean),Non-seasonally adjusted
3.2,3.2,3.3,2021 Q1,2021,1,K02000001,United Kingdom,Anxiety,Average (mean),Non-seasonally adjusted
7.6,7.5,7.6,2021 Q2,2021,2,K02000001,United Kingdom,Life satisfaction,Average (mean),Non-seasonally adjusted
7.5,7.5,7.6,2021 Q2,2021,2,K02000001,United Kingdom,Happiness,Average (mean),Non-seasonally adjusted
7.8,7.8,7.8,2021 Q2,2021,2,K02000001,United Kingdom,Worthwhile,Average (mean),Non-seasonally adjusted
3.0,3.0,3.1,2021 Q2,2021,2,K02000001,United Kingdom,Anxiety,Average (mean),Non-seasonally adjusted
7.5,7.5,7.6,2021 Q3,2021,3,K02000001,United Kingdom,Happiness,Average (mean),Non-seasonally adjusted
7.8,7.8,7.9,2021 Q3,2021,3,K02000001,United Kingdom,Worthwhile,Average (mean),Non-seasonally adjusted
3.1,3.0,3.1,2021 Q3,2021,3,K02000001,United Kingdom,Anxiety,Average (mean),Non-seasonally adjusted
7.6,7.6,7.6,2021 Q3,2021,3,K02000001,United Kingdom,Life satisfaction,Average (mean),Non-seasonally adjusted
7.4,7.4,7.4,2021 Q4,2021,4,K02000001,United Kingdom,Happiness,Average (mean),Non-seasonally adjusted
7.8,7.8,7.8,2021 Q4,2021,4,K02000001,United Kingdom,Worthwhile,Average (mean),Non-seasonally adjusted
7.6,7.5,7.6,2021 Q4,2021,4,K02000001,United Kingdom,Life satisfaction,Average (mean),Non-seasonally adjusted
3.2,3.1,3.2,2021 Q4,2021,4,K02000001,United Kingdom,Anxiety,Average (mean),Non-seasonally adjusted
7.4,7.4,7.4,2022 Q1,2022,1,K02000001,United Kingdom,Happiness,Average (mean),Non-seasonally adjusted
7.8,7.8,7.8,2022 Q1,2022,1,K02000001,United Kingdom,Worthwhile,Average (mean),Non-seasonally adjusted
3.2,3.2,3.3,2022 Q1,2022,1,K02000001,United Kingdom,Anxiety,Average (mean),Non-seasonally adjusted
7.5,7.5,7.6,2022 Q1,2022,1,K02000001,United Kingdom,Life satisfaction,Average (mean),Non-seasonally adjusted
7.5,7.4,7.5,2022 Q2,2022,2,K02000001,United Kingdom,Happiness,Average (mean),Non-seasonally adjusted
3.2,3.1,3.2,2022 Q2,2022,2,K02000001,United Kingdom,Anxiety,Average (mean),Non-seasonally adjusted
7.8,7.7,7.8,2022 Q2,2022,2,K02000001,United Kingdom,Worthwhile,Average (mean),Non-seasonally adjusted
7.5,7.5,7.6,2022 Q2,2022,2,K02000001,United Kingdom,Life satisfaction,Average (mean),Non-seasonally adjusted
3.2,3.1,3.2,2022 Q3,2022,3,K02000001,United Kingdom,Anxiety,Average (mean),Non-seasonally adjusted
7.8,7.7,7.8,2022 Q3,2022,3,K02000001,United Kingdom,Worthwhile,Average (mean),Non-seasonally adjusted
7.5,7.4,7.5,2022 Q3,2022,3,K02000001,United Kingdom,Life satisfaction,Average (mean),Non-seasonally adjusted
7.4,7.4,7.4,2022 Q3,2022,3,K02000001,United Kingdom,Happiness,Average (mean),Non-seasonally adjusted
7.8,7.7,7.8,2022 Q4,2022,4,K02000001,United Kingdom,Worthwhile,Average (mean),Non-seasonally adjusted
7.4,7.3,7.4,2022 Q4,2022,4,K02000001,United Kingdom,Happiness,Average (mean),Non-seasonally adjusted
3.3,3.2,3.3,2022 Q4,2022,4,K02000001,United Kingdom,Anxiety,Average (mean),Non-seasonally adjusted
7.5,7.4,7.5,2022 Q4,2022,4,K02000001,United Kingdom,Life satisfaction,Average (mean),Non-seasonally adjusted
7.7,7.7,7.8,2023 Q1,2023,1,K02000001,United Kingdom,Worthwhile,Average (mean),Non-seasonally adjusted
7.3,7.3,7.4,2023 Q1,2023,1,K02000001,United Kingdom,Happiness,Average (mean),Non-seasonally adjusted
7.4,7.4,7.5,2023 Q1,2023,1,K02000001,United Kingdom,Life satisfaction,Average (mean),Non-seasonally adjusted
3.3,3.2,3.3,2023 Q1,2023,1,K02000001,United Kingdom,Anxiety,Average (mean),Non-seasonally adjusted
7.5,7.5,7.5,2023 Q2,2023,2,K02000001,United Kingdom,Life satisfaction,Average (mean),Non-seasonally adjusted
7.8,7.7,7.8,2023 Q2,2023,2,K02000001,United Kingdom,Worthwhile,Average (mean),Non-seasonally adjusted
3.1,3.1,3.2,2023 Q2,2023,2,K02000001,United Kingdom,Anxiety,Average (mean),Non-seasonally adjusted
7.5,7.4,7.5,2023 Q2,2023,2,K02000001,United Kingdom,Happiness,Average (mean),Non-seasonally adjusted
