Suicide_Rate,Year,Country
4557,2001,England
4436,2002,England
4430,2003,England
4513,2004,England
4410,2005,England
4178,2006,England
3999,2007,England
4288,2008,England
4392,2009,England
4202,2010,England
4518,2011,England
4513,2012,England
4727,2013,England
4882,2014,England
4820,2015,England
4575,2016,England
4451,2017,England
5021,2018,England
5316,2019,England
4912,2020,England
5219,2021,England
5284,2022,England
5656,2023,England
4896,2001,England and Wales
4758,2002,England and Wales
4798,2003,England and Wales
4874,2004,England and Wales
4705,2005,England and Wales
4507,2006,England and Wales
4313,2007,England and Wales
4595,2008,England and Wales
4677,2009,England and Wales
4519,2010,England and Wales
4880,2011,England and Wales
4887,2012,England and Wales
5145,2013,England and Wales
5158,2014,England and Wales
5199,2015,England and Wales
4941,2016,England and Wales
4840,2017,England and Wales
5420,2018,England and Wales
5691,2019,England and Wales
5224,2020,England and Wales
5583,2021,England and Wales
5642,2022,England and Wales
6069,2023,England and Wales
312,2001,Wales
305,2002,Wales
334,2003,Wales
330,2004,Wales
270,2005,Wales
300,2006,Wales
290,2007,Wales
267,2008,Wales
258,2009,Wales
288,2010,Wales
341,2011,Wales
334,2012,Wales
393,2013,Wales
247,2014,Wales
350,2015,Wales
322,2016,Wales
360,2017,Wales
349,2018,Wales
330,2019,Wales
285,2020,Wales
347,2021,Wales
339,2022,Wales
386,2023,Wales
