table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n)
Table 119,Q13. How closely followed official advice in last week: Wearing a face mask/covering on public transport or in an enclosed public space where social distancing is not possible,ONLINE Fieldwork: 19th to 21st June 2020,Unweighted base,2164,1113,1051,292,261,355,355,316,338,508,642,610,367,545
Table 119,Q13. How closely followed official advice in last week: Wearing a face mask/covering on public transport or in an enclosed public space where social distancing is not possible,ONLINE Fieldwork: 19th to 21st June 2020,Weighted base,2164,1058,1106,298,264,361,335,372,312,485,589,610,439,526
Table 119,Q13. How closely followed official advice in last week: Wearing a face mask/covering on public transport or in an enclosed public space where social distancing is not possible,ONLINE Fieldwork: 19th to 21st June 2020,NET: Closely,1538,719,819,208,180,246,226,269,231,358,441,420,317,359
Table 119,Q13. How closely followed official advice in last week: Wearing a face mask/covering on public transport or in an enclosed public space where social distancing is not possible,ONLINE Fieldwork: 19th to 21st June 2020,Very closely        (+2),956,430,526,122,105,131,141,166,148,248,280,261,185,231
Table 119,Q13. How closely followed official advice in last week: Wearing a face mask/covering on public transport or in an enclosed public space where social distancing is not possible,ONLINE Fieldwork: 19th to 21st June 2020,Fairly closely      (+1),582,289,293,86,76,115,85,102,83,110,162,159,133,129
Table 119,Q13. How closely followed official advice in last week: Wearing a face mask/covering on public transport or in an enclosed public space where social distancing is not possible,ONLINE Fieldwork: 19th to 21st June 2020,Not very closely    (-1),279,143,136,54,49,51,52,36,38,48,59,95,55,69
Table 119,Q13. How closely followed official advice in last week: Wearing a face mask/covering on public transport or in an enclosed public space where social distancing is not possible,ONLINE Fieldwork: 19th to 21st June 2020,Not at all closely  (-2),347,196,151,37,34,64,58,68,43,79,88,95,67,97
Table 119,Q13. How closely followed official advice in last week: Wearing a face mask/covering on public transport or in an enclosed public space where social distancing is not possible,ONLINE Fieldwork: 19th to 21st June 2020,NET: Not closely,626,340,287,90,83,115,109,104,81,127,147,191,122,166
Table 119,Q13. How closely followed official advice in last week: Wearing a face mask/covering on public transport or in an enclosed public space where social distancing is not possible,ONLINE Fieldwork: 19th to 21st June 2020,Mean,0.7,0.58,0.82,0.68,0.64,0.55,0.6,0.71,0.82,0.82,0.83,0.65,0.71,0.62
Table 119,Q13. How closely followed official advice in last week: Wearing a face mask/covering on public transport or in an enclosed public space where social distancing is not possible,ONLINE Fieldwork: 19th to 21st June 2020,Standard deviation Standard error,1.52,1.56,1.47,1.46,1.48,1.52,1.56,1.55,1.47,1.53,1.48,1.53,1.49,1.58
